2014-03-03 15:34:30 remove ghostscript-x 9.05~dfsg-0ubuntu4 <none>
2014-03-03 15:34:30 purge ghostscript-x 9.05~dfsg-0ubuntu4 <none>
2014-03-03 15:34:30 status config-files ghostscript-x 9.05~dfsg-0ubuntu4
2014-03-03 15:34:31 status config-files ghostscript-x 9.05~dfsg-0ubuntu4
2014-03-03 15:34:31 status config-files ghostscript-x 9.05~dfsg-0ubuntu4
2014-03-03 15:34:31 status config-files ghostscript-x 9.05~dfsg-0ubuntu4
2014-03-03 15:34:31 status config-files ghostscript-x 9.05~dfsg-0ubuntu4
2014-03-03 15:34:31 status not-installed ghostscript-x <none>
2014-03-03 15:34:31 status config-files gs-cjk-resource 1.20100103-3
2014-03-03 15:34:31 remove gs-cjk-resource 1.20100103-3 <none>
2014-03-03 15:34:31 purge gs-cjk-resource 1.20100103-3 <none>
2014-03-03 15:34:31 status config-files gs-cjk-resource 1.20100103-3
2014-03-03 15:34:32 status config-files gs-cjk-resource 1.20100103-3
2014-03-03 15:34:32 status config-files gs-cjk-resource 1.20100103-3
2014-03-03 15:34:32 status config-files gs-cjk-resource 1.20100103-3
2014-03-03 15:34:32 status config-files gs-cjk-resource 1.20100103-3
2014-03-03 15:34:32 status not-installed gs-cjk-resource <none>
2014-03-03 15:34:32 status config-files gv 1:3.7.3-1
2014-03-03 15:34:32 remove gv 1:3.7.3-1 <none>
2014-03-03 15:34:32 purge gv 1:3.7.3-1 <none>
2014-03-03 15:34:32 status config-files gv 1:3.7.3-1
2014-03-03 15:34:32 status config-files gv 1:3.7.3-1
2014-03-03 15:34:32 status config-files gv 1:3.7.3-1
2014-03-03 15:34:33 status triggers-pending menu 2.1.46ubuntu1
2014-03-03 15:34:33 status triggers-awaited menu 2.1.46ubuntu1
2014-03-03 15:34:33 status config-files gv 1:3.7.3-1
2014-03-03 15:34:33 status config-files gv 1:3.7.3-1
2014-03-03 15:34:33 status not-installed gv <none>
2014-03-03 15:34:33 status config-files hplip 3.12.2-1ubuntu3
2014-03-03 15:34:33 remove hplip 3.12.2-1ubuntu3 <none>
2014-03-03 15:34:33 purge hplip 3.12.2-1ubuntu3 <none>
