[rosmaster.master][INFO] 2012-12-18 21:23:09,048: -PUB [/rosout] /create http://linaro-alip:47416/
[rosmaster.master][INFO] 2012-12-18 21:23:09,051: -PUB [/tf] /create http://linaro-alip:47416/
[rosmaster.master][INFO] 2012-12-18 21:23:09,054: -SERVICE [/circle] /create rosrpc://linaro-alip:44002
[rosmaster.master][INFO] 2012-12-18 21:23:09,057: -SERVICE [/demo] /create rosrpc://linaro-alip:44002
[rosmaster.master][INFO] 2012-12-18 21:23:09,060: -SERVICE [/turn] /create rosrpc://linaro-alip:44002
[rosmaster.master][INFO] 2012-12-18 21:23:09,063: -SERVICE [/leds] /create rosrpc://linaro-alip:44002
[rosmaster.master][INFO] 2012-12-18 21:23:09,065: -SERVICE [/brake] /create rosrpc://linaro-alip:44002
[rosmaster.master][INFO] 2012-12-18 21:23:09,068: -SERVICE [/tank] /create rosrpc://linaro-alip:44002
[rosmaster.master][INFO] 2012-12-18 21:23:09,073: -SERVICE [/dock] /create rosrpc://linaro-alip:44002
[rosmaster.master][INFO] 2012-12-18 21:23:09,075: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 21:23:15,094: +PUB [/rosout] /create http://linaro-alip:46510/
[rosmaster.master][INFO] 2012-12-18 21:23:15,105: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 21:23:18,472: +PUB [/sensorPacket] /create http://linaro-alip:46510/
[rosmaster.master][INFO] 2012-12-18 21:23:18,508: +PUB [/odom] /create http://linaro-alip:46510/
[rosmaster.master][INFO] 2012-12-18 21:23:18,541: +PUB [/tf] /create http://linaro-alip:46510/
[rosmaster.master][INFO] 2012-12-18 21:23:18,576: +SERVICE [/brake] /create http://linaro-alip:46510/
[rosmaster.master][INFO] 2012-12-18 21:23:18,610: +SERVICE [/circle] /create http://linaro-alip:46510/
[rosmaster.master][INFO] 2012-12-18 21:23:18,642: +SERVICE [/demo] /create http://linaro-alip:46510/
[rosmaster.master][INFO] 2012-12-18 21:23:18,674: +SERVICE [/leds] /create http://linaro-alip:46510/
[rosmaster.master][INFO] 2012-12-18 21:23:18,707: +SERVICE [/tank] /create http://linaro-alip:46510/
[rosmaster.master][INFO] 2012-12-18 21:23:18,738: +SERVICE [/turn] /create http://linaro-alip:46510/
[rosmaster.master][INFO] 2012-12-18 21:23:18,771: +SERVICE [/dock] /create http://linaro-alip:46510/
[rosmaster.master][INFO] 2012-12-18 21:23:18,807: +SUB [/cmd_vel] /create http://linaro-alip:46510/
[rosmaster.master][INFO] 2012-12-18 21:27:50,423: +PUB [/rosout] /rosservice_13790_1355866069922 http://linaro-alip:33301/
[rosmaster.master][INFO] 2012-12-18 21:27:50,471: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 21:27:50,592: -PUB [/rosout] /rosservice_13790_1355866069922 http://linaro-alip:33301/
[rosmaster.master][INFO] 2012-12-18 21:27:50,606: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 21:28:37,177: -SUB [/cmd_vel] /create http://linaro-alip:46510/
[rosmaster.master][INFO] 2012-12-18 21:28:37,180: -PUB [/sensorPacket] /create http://linaro-alip:46510/
[rosmaster.master][INFO] 2012-12-18 21:28:37,183: -PUB [/odom] /create http://linaro-alip:46510/
[rosmaster.master][INFO] 2012-12-18 21:28:37,187: -PUB [/rosout] /create http://linaro-alip:46510/
[rosmaster.master][INFO] 2012-12-18 21:28:37,192: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 21:28:37,190: -PUB [/tf] /create http://linaro-alip:46510/
[rosmaster.master][INFO] 2012-12-18 21:28:37,205: -SERVICE [/circle] /create rosrpc://linaro-alip:38894
[rosmaster.master][INFO] 2012-12-18 21:28:37,226: -SERVICE [/demo] /create rosrpc://linaro-alip:38894
[rosmaster.master][INFO] 2012-12-18 21:28:37,229: -SERVICE [/turn] /create rosrpc://linaro-alip:38894
[rosmaster.master][INFO] 2012-12-18 21:28:37,234: -SERVICE [/leds] /create rosrpc://linaro-alip:38894
[rosmaster.master][INFO] 2012-12-18 21:28:37,238: -SERVICE [/brake] /create rosrpc://linaro-alip:38894
[rosmaster.master][INFO] 2012-12-18 21:28:37,241: -SERVICE [/tank] /create rosrpc://linaro-alip:38894
[rosmaster.master][INFO] 2012-12-18 21:28:37,244: -SERVICE [/dock] /create rosrpc://linaro-alip:38894
[rosmaster.master][INFO] 2012-12-18 21:30:03,317: +PUB [/rosout] /create http://linaro-alip:33627/
[rosmaster.master][INFO] 2012-12-18 21:30:03,369: publisherUpdate[/rosout] -> http://linaro-alip:38050/
[rosmaster.master][INFO] 2012-12-18 21:30:06,683: +PUB [/sensorPacket] /create http://linaro-alip:33627/
[rosmaster.master][INFO] 2012-12-18 21:30:06,718: +PUB [/odom] /create http://linaro-alip:33627/
[rosmaster.master][INFO] 2012-12-18 21:30:06,756: +PUB [/tf] /create http://linaro-alip:33627/
[rosmaster.master][INFO] 2012-12-18 21:30:06,790: +SERVICE [/brake] /create http://linaro-alip:33627/
[rosmaster.master][INFO] 2012-12-18 21:30:06,822: +SERVICE [/circle] /create http://linaro-alip:33627/
[rosmaster.master][INFO] 2012-12-18 21:30:06,857: +SERVICE [/demo] /create http://linaro-alip:33627/
[rosmaster.master][INFO] 2012-12-18 21:30:06,888: +SERVICE [/leds] /create http://linaro-alip:33627/
[rosmaster.master][INFO] 2012-12-18 21:30:06,920: +SERVICE [/tank] /create http://linaro-alip:33627/
[rosmaster.master][INFO] 2012-12-18 21:30:06,953: +SERVICE [/turn] /create http://linaro-alip:33627/
[rosmaster.master][INFO] 2012-12-18 21:30:06,985: +SERVICE [/dock] /create http://linaro-alip:33627/
[rosmaster.master][INFO] 2012-12-18 21:30:07,010: +SUB [/cmd_vel] /create http://linaro-alip:33627/
